6;-22
-3;-19
-20;-1,2
3;11
-8;3
-21;-8
-11;9
-15;0
-2,3;-8
14;-15
5;-1
-7;-9
4;1,4
-5;4
6;12
-15;17
0;-1,7
6;8
4;-13
6;-19
-21;-8
-7;7
-9;9
3;20
14;12
-14;4
13;3
-15;-20
-10;3
-13;-17
7;-2
-7;21
-5;-2
3;-19
-1;21
15;4
6;13
-10;6
-11;-1
-1;14
2;-9
-8;-8
-19;-8
-5;0
-12;17
3;17
14;-2
15;7
9;-16
-17;17
11;-11
9;5
-5;0
10;21
4;-13
-13;-9
11;-20
13;-8
-2;10
-10;9
-22;-2
-2;-6
15;-14
-5;-7
6;-8
-19;-10
-15;-4
-18;-14
-5;14
13;-7
10;1
2;4
-17;-9
16;7
9;18
12;3
-4;-9
1;-3
-2;14
11;18
-7;17
11;-15,5
7;0
3;6
-1,3;15
6;17
5;-9
7;-10
